Year,Geographical Region,Value
2019,Jamaica,0.7
2010,Jamaica,-1.8
2011,Jamaica,1.4
2012,Jamaica,-0.9
2013,Jamaica,0.2
2014,Jamaica,0.5
2015,Jamaica,0.7
2016,Jamaica,1.3
2017,Jamaica,1.0
2018,Jamaica,2.0
