Year,Geographical Region,Sex,Value
2013,Jamaica,,30.3
2013,Jamaica,Male,24.6
2013,Jamaica,Female,36.1
2015,Jamaica,,34.9
2015,Jamaica,Male,38.8
2015,Jamaica,Female,31.2
