Year,Subject,Sex,Parish,Value
2017,English A and Mathematics,,St  Elizabeth,515.0
2017,English A and Mathematics,,Manchester,723.0
2017,English A and Mathematics,,Clarendon,1058.0
2017,English A and Mathematics,,St  Catherine,1114.0
2017,English A and/or Mathematics,Female,,12554.0
2017,English A and/or Mathematics,Male,,8255.0
2017,English A and/or Mathematics,,Jamaica,20809.0
2017,English A and/or Mathematics,,Kingston,1934.0
2017,English A and/or Mathematics,,St  Andrew,4658.0
2017,English A and/or Mathematics,,St  Thomas,492.0
2017,English A and/or Mathematics,Portland,580,
2017,English A and/or Mathematics,,St  Mary,903.0
2017,English A and/or Mathematics,,St  Ann,1218.0
2017,English A and/or Mathematics,,Trelawny,583.0
2017,English A and/or Mathematics,,St  James,1403.0
2017,English A and/or Mathematics,,Hanover,523.0
2017,English A and/or Mathematics,,Westmoreland,864.0
2017,English A and/or Mathematics,,St  Elizabeth,1175.0
2017,English A and/or Mathematics,,Manchester,1346.0
2017,English A and/or Mathematics,,Clarendon,2147.0
2017,English A and/or Mathematics,,St  Catherine,2983.0
2017,Per cent of Cohort,Female,,62.6
2017,Per cent of Cohort,Male,,43.1
2017,Per cent of Cohort,,Jamaica,53.1
2017,Per cent of Cohort,,Kingston,61.8
2017,Per cent of Cohort,,St  Andrew,71.3
2017,Per cent of Cohort,,St  Thomas,37.7
2017,Per cent of Cohort,Portland,46.2,
2017,Per cent of Cohort,,St  Mary,50.9
2017,Per cent of Cohort,,St  Ann,51.9
2017,Per cent of Cohort,,Trelawny,44.3
2017,Per cent of Cohort,,St  James,53.1
2017,Per cent of Cohort,,Hanover,39.6
2017,Per cent of Cohort,,Westmoreland,43.3
2017,Per cent of Cohort,,St  Elizabeth,46.7
2017,Per cent of Cohort,,Manchester,54.5
2017,Per cent of Cohort,,Clarendon,49.5
2017,Per cent of Cohort,,St  Catherine,47.8
