Value,Disaggregation combinations using this value,Number of indicators
Connecting or installing new devices,2,1
Copying or moving files or folders,2,1
Finding/ downloading or installing new software,1,1
Finding/downloading or installing new software,1,1
Sending e-mails with files attached,2,1
Transferring files between a computer and other,2,1
Using copy and paste tools to move or duplicate information in documents,2,1
