Value,Disaggregation combinations using this value,Number of indicators
Cardboard,2,1
Compostable,2,1
E-waste,1,1
Glass,2,1
Metal or tin,2,1
Paper,2,1
Plastic,2,1
Textile,2,1
Total,2,1
Wood or board,2,1
