Value,Disaggregation combinations using this value,Number of indicators
Fourth,3,1
Middle,3,1
Poorest,4,2
Quintile 2,1,1
Quintile 3,1,1
Quintile 4,1,1
Richest,3,1
Second,3,1
Wealthiest,1,1
