Value,Disaggregation combinations using this value,Number of indicators
Mean Score in Grade Six Achievement Test,6,1
Proportion of students achieving mastery,12,1
Proportion of Students at Developing Level,6,1
Proportion of Students at Highly Proficient Level,6,1
Proportion of Students at Proficient Level,6,1
