Value,Disaggregation combinations using this value,Number of indicators
Number of automated teller machines (ATMs),2,1
Number of commercial bank branches,2,1
Number of deposit account at banks and other financial institutions supervised by the Bank of Jamaica (BOJ),1,1
Number of deposit account at commercial banks supervised by the BOJ,1,1
