Indicator
#1-4-2
#15-1-1
#16-1-1
#17-6-2
#17-8-1
#3-1-1
#3-1-2
#3-2-1
#3-2-2
#3-3-1
#3-5-1
#3-6-1
#3-7-1
#3-8-2
#3-9-3
#4-1-1
#4-2-2
#5-2-1
#5-2-2
#5-3-1
#5-b-1
#6-1-1
#6-2-1
#6-4-2
#7-1-1
#7-1-2
#8-1-1
#8-2-1
#8-6-1
