Value,Disaggregation combinations using this value,Number of indicators
Bagasse,2,1
Coal,2,1
Fuelwood,1,1
Hydropower,2,1
Natural Gas,2,1
Petroleum,2,1
% Renewable Share,3,1
Solar,1,1
Total Alternative Energy,2,1
Total,2,1
Wind,2,1
