Value,Disaggregation combinations using this value,Number of indicators
Current Intimate Partner,12,1
Current Partner,39,1
Current  Partner,1,1
Current,51,1
Lifetime Higher,1,1
Lifetime intimate Partner,15,1
Lifetime Partner,40,1
Lifetime,50,1
