Value,Disaggregation combinations using this value,Number of indicators
Publicly Issued External Debt Outstanding/ Exports of Goods Services & Current Transfers,1,1
Publicly Issued External Debt Service Ratio (accrued),1,1
Publicly Issued External Debt Service Ratio (actual),1,1
