Value,Disaggregation combinations using this value,Number of indicators
Clarendon,1,1
Greater Kingston Metropolitan Area,10,1
Hanover,1,1
Jamaica,29,7
Kingston Metropolitan Area,8,2
Kingston & St Andrew,1,1
Manchester,1,1
Other Towns,8,2
Other Urban cenntre,10,1
Per cent,2,1
Portland,1,1
Rural Areas,18,2
St Ann,1,1
St Catherine,1,1
St Elizabeth,1,1
St James,1,1
St Mary,1,1
St Thomas,1,1
Trelawny,1,1
Westmoreland,1,1
