Value,Disaggregation combinations using this value,Number of indicators
Ministry of Education Youth and Information,1,1
Ministry of Health and Wellness,1,1
Ministry of Health,1,1
Ministry of Labour and Social Security,1,1
Ministry of  Labour and Social Secutity,1,1
