Value,Disaggregation combinations using this value,Number of indicators
Beverage bottles (glass),1,1
Beverage bottles (plastic),1,1
Bottle caps (plastic),1,1
Cup plate (plastic),1,1
Cups plates (foam),1,1
Foam pieces (tiny trash),1,1
Food wrappers (candy chips etc.),1,1
Food wrappers (candy chips),1,1
Forks knives and spoons,1,1
Other plastic bags,1,1
Other,1,1
Plastic pieces (tiny trash),1,1
Take out/away containers (foam),1,1
