Indicator
#1-3-1
#1-5-1
#1-a-2
#10-4-1
#11-6-1
#11-6-2
#12-2-2
#12-4-2
#12-5-1
#14-1-1
#14-2-1
#14-5-1
#15-1-2
#15-4-2
#16-5-1
#17-1-1
#17-1-2
#17-11-1
#17-3-1
#17-6-2
#2-a-2
#3-1-1
#3-1-2
#3-2-1
#3-2-2
#3-4-2
#3-6-1
#3-b-2
#3-c-1
#3-d-1
#7-2-1
#8-10-1
#9-1-2
