Value,Disaggregation combinations using this value,Number of indicators
Economic Violence,3,1
Emotional Violence,6,1
None,17,1
Physical and or sexual Violence,6,1
Physical and/or  Sexual Violence Violence,10,1
Physical and/or Sexual Violence,24,1
Physical Violence,39,1
Sexual Violence,40,1
