Value,Disaggregation combinations using this value,Number of indicators
Female,7,2
GKMA,13,5
Jamaica,143,28
KMA,20,8
Male,7,2
Other Towns,19,8
Other Urban cenntre,2,2
Other Urban Centre,10,3
Other Urban centre,2,2
Rural Area,11,5
Rural Areas,5,1
Rural,28,6
Total,11,1
Urban,21,3
