Value,Disaggregation combinations using this value,Number of indicators
Black River Lower Morass,1,1
Blue & John Crow Mountains,1,1
Coral Spring or Mountain Spring,1,1
Jamaica,1,1
Mason River,1,1
Montego Bay,1,1
Negril,2,1
Ocho Rios coastline,1,1
Ocho Rios Marine Park,1,1
Palisadoes Port Royal,2,1
Palisadoes–Port Royal,1,1
Port Royal,1,1
Portland Bight Wetlands & Cays,1,1
Portland Bight,2,1
