Value,Disaggregation combinations using this value,Number of indicators
Flood Rains,3,1
Hurricane Dean,3,1
Hurricane Dennis and Emily,3,1
Hurricane Ivan,3,1
Hurricane Sandy,3,1
Hurricane Wilma,3,1
March to June Rains,3,1
Tropical Storm Gustav,3,1
Tropical Storm Nicole,3,1
