Value,Disaggregation combinations using this value,Number of indicators
Other,7,1
Pit Laterine,6,1
Pit Latrine,4,1
Water Closet Linked to Central Sewer Network,7,1
Water Closet Linked to Offsite Disposal System,4,1
Water Closet Linked to Offsite disposal system,4,1
Water Closet Linked to Onsite Disposal System,4,1
Water Closet Linked to Onsite disposal system,4,1
Water Closet Linked to Sewer,4,1
Water Closet Not Linked to Sewer,4,1
