Value,Disaggregation combinations using this value,Number of indicators
GKMA,3,3
Jamaica,3,3
KMA,3,3
Other Towns,2,2
Other Urban cenntre,1,1
Other Urban Centre,1,1
Other Urban Centres,1,1
Others Towns,1,1
Rural Areas,3,3
