Value,Disaggregation combinations using this value,Number of indicators
13.8,1,1
14.1,1,1
14.5,1,1
14.6,1,1
14.8,1,1
14.9,1,1
15.2,1,1
15.5,1,1
15.6,1,1
15.7,1,1
16.3,1,1
21.0,1,1
(US$Mn),2,1
