Value,Disaggregation combinations using this value,Number of indicators
Cropland,5,1
Forest,5,1
Grassland,5,1
MGC,1,1
MGCI All,1,1
MGCI,4,1
Other Land,5,1
Settlement,5,1
Wetland,5,1
